id;page;role;controle_ou_scenario;statut;preuve_ou_limite
LIS-E;Catalogue;Public;Liste puis Carte;OK navigateur;Résultats visibles dans les deux modes
LIS-F;Calendrier catalogue;Public;Mois suivant et deux dates;OK navigateur;17 puis 18 octobre et séjour seul
LIS-G;Catalogue;Public;Carte + date puis Liste + deuxième date;OK navigateur et régression;Vue et période ne s’écrasent plus
LIS-H;Carte géographique;Public;Zoom plus et moins;OK navigateur;Commandes activées
LIS-I;Carte géographique;Public;Ouvrir marqueur et fermer popup;OK navigateur;Séjour et plage complète dans popup
GEO-A;Catalogue;Public;Autour de moi avec permission réelle;NON EXÉCUTÉ;Pas de collecte de position personnelle
AUTH-A;Connexion;Admin et praticien;Connexion déconnexion et changement de rôle;OK navigateur;Comptes fictifs distincts
AUTH-B;Auth réelle locale;Comptes temporaires;Confirmation et récupération;OK tests connectés;8 contrôles réussis
SEC-A;API et base locale;Divers rôles;Droits crédits stockage concurrence;OK tests connectés;25 contrôles réussis
DEP-A;Application;Technique;Lint typage tests et compilation;OK;192 tests et compilation finale réussis
DEP-B;Base locale;Technique;Rejeu et comparaison migrations;OK;Aucun écart de schéma public
DEP-C;Production cliente;Tous;Déploiement et smoke test;NON EXÉCUTÉ;Lot local sans modification cloud
