id,page_url,type_page,role,proprietaire,etat_initial,element_action,scenario,attendu,observe,statut,preuve,version_testee,date_test,navigateur_ecran,bug_id,raison_na_ou_blocage
"UI-18","http://localhost:3100/admin/soumissions/nouveau","création","admin","A","petit écran","Abandonner / Confirmer","Confirmation responsive expérience","Panneau et boutons accessibles","Contrôles visibles ; largeur document 416 <= fenêtre 433","PASS","PREUVES.md — Petit écran et clavier","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","",""
"UI-19","http://localhost:3100/admin/praticiens/8ac15446-e72c-4dbb-9295-43c2286477aa ; /admin/lieux/b0000000-0000-4000-8000-000000000001","profil et lieu","admin","A/admin","petit écran","Abandonner / Confirmer","Confirmation responsive autres composants","Panneau et boutons accessibles","Mesures sans débordement global ; abandon et retour serveur vérifiés","PASS","PREUVES.md — Petit écran et clavier","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","",""
"UI-20","http://localhost:3100/admin/lieux/nouveau","création lieu","admin","admin","confirmation ouverte","Annuler / Échap","Fermeture clavier","Panneau fermé sans abandon","alertdialog absent après Échap","PASS","PREUVES.md — Petit écran et clavier","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","BRO-LOCAL-05",""
"UI-21","formulaires authentifiés","tous","tous","tous","stockage refusé ou plein","Saisir","Simulation panne de stockage UI","Avertissement et texte conservé","Tests automatisés verts ; panne non injectée dans Chrome","NON TESTÉ","PREUVES.md — Limites","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","BRO-LOCAL-04","Simulation non exécutée via le pilote navigateur"
"UI-22","formulaires authentifiés","tous","tous","tous","ancien brouillon","Recharger","Expiration et migration UI","Migration clé sûre et expiration respectées","Tests automatisés verts uniquement","NON TESTÉ","PREUVES.md — Limites","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","BRO-LOCAL-04","Pas de manipulation du stockage via API navigateur"
"UI-23","http://localhost:3100/espace-praticien/evenements/nouveau","création","praticien","A","conflit avant notification","Déposer","Course exacte au clic UI","Action serveur non appelée","Test automatisé vert ; course exacte non imposée dans Chrome","NON TESTÉ","PREUVES.md — Limites","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","BRO-LOCAL-03","Ordonnancement navigateur non contrôlé"
"UI-24","formulaires authentifiés","tous","tous","tous","brouillon sauvegardé","Quitter entièrement Chrome puis relancer","Redémarrage complet navigateur","Reprise identique","Fermeture/nouvel onglet exécuté mais pas arrêt processus","NON TESTÉ","PREUVES.md — Limites","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","","Ne pas fermer les autres sessions utilisateur"
"UI-25","formulaires authentifiés","tous","tous","tous","version finale","Toutes les variantes historiques","Recette exhaustive par formulaire langue et appareil","Chaque contrôle applicable exercé","Recette ciblée uniquement ; Safari appareil physique et variantes non rejoués","NON TESTÉ","PREUVES.md — Limites","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","","Hors étendue des preuves de ce complément"
"UI-26","http://localhost:3100","tous","tous","tous","pilotage intégré bloqué","Confirmation et navigation","Recette finale navigateur Codex","Interactions utilisables","Pilote intégré bloqué ; alternative Chrome utilisée","BLOQUÉ","PREUVES.md — Limites","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","BRO-LOCAL-05","Dialogue natif non exposé et interactions bloquées"
"UI-27","environnement client","tous","tous","tous","non déployé","Parcours après bascule","Validation client de livraison","Migrations et services client vérifiés","Aucune bascule client dans ce complément","BLOQUÉ","PREUVES.md — Limites","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","","Nécessite environnement cible et déploiement coordonné"
